seed,party,architecture,hidden_dim,private_view,val_auc,val_accuracy,test_auc,test_accuracy,test_f1
45,outdated_popularity,small MLP,12,early-train popularity statistics,0.7267002778139174,0.6772577758670679,0.7131170154829182,0.6625708601193749,0.6964709691344702
45,low_degree_interaction,low-rank matrix_factorization,24,low-degree interaction subset,0.6700948939682269,0.6271682946581218,0.6746466990646522,0.635466552024075,0.7200175080245113
45,random_project_movie,random projection MLP,18,projected movie metadata,0.641684238783392,0.6111516581517882,0.6453389482232315,0.6175553133841893,0.6903195774049262
45,weak_genre_knn,weak KNN MLP,18,small-k noisy genre graph,0.572392919603946,0.5526539426720388,0.5732188468970403,0.5555633317003429,0.6108567576794796
45,highk_noisy_knn,noisy KNN MLP,18,high-k noisy genre graph,0.7447074528144427,0.6876455944251707,0.731397266707836,0.6767978724467861,0.711703275632965
45,partial_profile,partial profile MLP,12,age-only user profile,0.6656750634382231,0.6235890463002769,0.6661210806311518,0.6246538226972336,0.6678610134253423
45,shuffled_feature_diagnostic,diagnostic MLP,10,shuffled train-view features,0.6223093761162859,0.5846572219833834,0.621191882411056,0.5837174193419382,0.6241401722363646
46,rating_interaction_mf,matrix_factorization,64,train rating interaction graph,0.5743406507579603,0.5576628907929335,0.5779690983085483,0.5617970226252487,0.6251149344178865
46,user_profile_mlp,profile MLP + movie ID embedding,32,"age, gender, occupation",0.6335631240409589,0.6086621809420022,0.6361575948640374,0.6127463232721129,0.6960087586772514
46,movie_metadata_mlp,movie metadata MLP + user ID embedding,128,genres and release year,0.7415564586747934,0.6789674168424631,0.7213596580015396,0.6724137931034483,0.7120212695831777
46,genre_knn_mlp,genre-KNN smoothed MLP,48,genre semantic KNN graph,0.7475190775612753,0.6893052458983614,0.7433987646106716,0.6884654222613251,0.7382766238020444
46,popularity_temporal_mlp,small MLP,16,train-only popularity and temporal statistics,0.6463875553353566,0.617970226252487,0.6528320399968516,0.6239189770148269,0.6922850388161286
46,sparse_rating_mf,sparse matrix_factorization,40,sparse train interactions,0.7510967657554578,0.6908449225662611,0.7463791227390167,0.690644964557443,0.7382543522763801
46,masked_genres,metadata MLP with masked genres,24,partially masked movie genres,0.7104781658576534,0.6598114395976845,0.6903624506747535,0.6454094640125574,0.6823435631725786
46,corrupt_user_profile,profile MLP with corrupted features,20,corrupted age/gender/occupation,0.7366796848594418,0.6817368352645944,0.7281789668394719,0.6791873706521631,0.7378624120775434
46,outdated_popularity,small MLP,12,early-train popularity statistics,0.6585965595674583,0.6215994641125364,0.6619818190804142,0.6299527099309145,0.7194162797308822
46,low_degree_interaction,low-rank matrix_factorization,24,low-degree interaction subset,0.6808424370292281,0.6255886263884585,0.6826926440293756,0.6329420821627458,0.72751832266444
46,random_project_movie,random projection MLP,18,projected movie metadata,0.5729419145742018,0.5557133002069565,0.5795393093760157,0.5630067685785985,0.626769192671753
46,weak_genre_knn,weak KNN MLP,18,small-k noisy genre graph,0.6931679043155335,0.639135781485888,0.6738384694546901,0.6299227162295918,0.665343670185114
46,highk_noisy_knn,noisy KNN MLP,18,high-k noisy genre graph,0.6577841847893757,0.6213995061037182,0.6618704879075035,0.6281130962497875,0.717771092336233
46,partial_profile,partial profile MLP,12,age-only user profile,0.6714765444967805,0.629947710980694,0.6749752524659398,0.6376860859219564,0.7122221604580433
46,shuffled_feature_diagnostic,diagnostic MLP,10,shuffled train-view features,0.6585747222396849,0.6230191659751452,0.6622254179986552,0.6285230101678647,0.7180928752167102
