dataset,setting,seed,method,d_ref,lr,weight_decay,epoch,train_loss,val_metric,selected_run
ACM,hard,42,Project-and-Mean,32,0.001,0.0,163,0.01619592308998108,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,164,0.01603603921830654,0.5529801249504089,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,165,0.015878507867455482,0.5529801249504089,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,166,0.015723302960395813,0.5529801249504089,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,167,0.015570365823805332,0.5529801249504089,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,168,0.015419669449329376,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,169,0.01527116447687149,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,170,0.015124790370464325,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,171,0.014980520121753216,0.554635763168335,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,172,0.014838307164609432,0.556291401386261,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,173,0.01469811238348484,0.557947039604187,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,174,0.014559902250766754,0.559602677822113,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,175,0.014423632062971592,0.557947039604187,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,176,0.014289278537034988,0.557947039604187,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,177,0.014156805351376534,0.557947039604187,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,178,0.014026179909706116,0.557947039604187,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,179,0.013897370547056198,0.557947039604187,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,180,0.01377033069729805,0.557947039604187,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,181,0.013645036146044731,0.557947039604187,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,182,0.013521464541554451,0.557947039604187,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,183,0.01339957769960165,0.559602677822113,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,184,0.013279339298605919,0.559602677822113,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,185,0.01316072978079319,0.559602677822113,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,186,0.013043701648712158,0.559602677822113,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,187,0.01292823813855648,0.559602677822113,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,188,0.012814308516681194,0.559602677822113,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,189,0.012701892293989658,0.559602677822113,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,190,0.012590954080224037,0.559602677822113,False
