dataset,setting,seed,method,party,d_ref,hidden_mean,hidden_std,hidden_l2_mean,hidden_l2_std,projected_l2_mean,projected_l2_std
ACM,hard,43,Project-and-Concat,14,64,0.19520127773284912,0.20976783335208893,2.0492656230926514,1.0272780656814575,0.9225643277168274,0.4149271249771118
ACM,hard,43,raw_hidden,0,N/A,0.11313210427761078,0.09310415387153625,1.1690388917922974,0.08516060560941696,N/A,N/A
ACM,hard,43,raw_hidden,1,N/A,0.06418860703706741,0.057555701583623886,0.6886855959892273,0.03759799897670746,N/A,N/A
ACM,hard,43,raw_hidden,2,N/A,0.13150480389595032,0.10083859413862228,1.3164113759994507,0.15692460536956787,N/A,N/A
ACM,hard,43,raw_hidden,3,N/A,0.1941903829574585,0.19821159541606903,2.0497963428497314,0.8521687984466553,N/A,N/A
ACM,hard,43,raw_hidden,4,N/A,0.1970684975385666,0.21414516866207123,2.054777145385742,1.094675898551941,N/A,N/A
ACM,hard,43,raw_hidden,5,N/A,0.20546051859855652,0.22044599056243896,2.157688856124878,1.0752896070480347,N/A,N/A
ACM,hard,43,raw_hidden,6,N/A,0.19647979736328125,0.22172768414020538,2.100595712661743,1.0975502729415894,N/A,N/A
ACM,hard,43,raw_hidden,7,N/A,0.19432204961776733,0.2186458557844162,2.0625505447387695,1.105521321296692,N/A,N/A
ACM,hard,43,raw_hidden,8,N/A,0.19401445984840393,0.21190859377384186,2.022238254547119,1.0924980640411377,N/A,N/A
ACM,hard,43,raw_hidden,9,N/A,0.18578362464904785,0.20275481045246124,1.9603607654571533,0.9984942078590393,N/A,N/A
ACM,hard,43,raw_hidden,10,N/A,0.19313210248947144,0.19858363270759583,1.9918934106826782,0.9713035225868225,N/A,N/A
ACM,hard,43,raw_hidden,11,N/A,0.19737274944782257,0.23275691270828247,2.156122922897339,1.1452370882034302,N/A,N/A
ACM,hard,43,raw_hidden,12,N/A,0.19757318496704102,0.21316255629062653,2.0573155879974365,1.083398461341858,N/A,N/A
ACM,hard,43,raw_hidden,13,N/A,0.19281260669231415,0.20797312259674072,2.0234017372131348,1.026321291923523,N/A,N/A
ACM,hard,43,raw_hidden,14,N/A,0.19520127773284912,0.20976783335208893,2.0492656230926514,1.0272780656814575,N/A,N/A
ACM,hard,43,Gated Fusion,0,64,0.11313210427761078,0.09310415387153625,1.1690388917922974,0.08516060560941696,0.6731964945793152,0.0490102581679821
