dataset,setting,seed,method,d_ref,lr,weight_decay,val_acc,test_acc,macro_f1,best_epoch,first_loss,best_loss,param_count,party_ids,role,selected
ACM,hard,42,Reliability-Selected Project-and-Mean,32,0.001,0.0001,0.7649006843566895,0.7726523876190186,0.7748411591409332,64,1.0929112434387207,0.09607096761465073,10819,"[0, 2, 1, 9, 5]",main,True
ACM,hard,42,Reliability-Selected Project-and-Mean,32,0.0003,0.0,0.7615894079208374,0.7429983615875244,0.7440990211703076,131,1.090516209602356,0.14984895288944244,10819,"[0, 2, 1, 9, 5]",main,False
ACM,hard,42,Reliability-Selected Project-and-Mean,32,0.0003,0.0001,0.7417218685150146,0.7397034764289856,0.742179395407653,167,1.169256567955017,0.1261426955461502,10819,"[0, 2, 1, 9, 5]",main,False
ACM,hard,42,Reliability-Selected Project-and-Mean,64,0.001,0.0,0.7350993156433105,0.7232289910316467,0.7265101654483442,60,1.1342817544937134,0.05957447364926338,21635,"[0, 2, 1, 9, 5]",main,False
ACM,hard,42,Reliability-Selected Project-and-Mean,64,0.001,0.0001,0.7549669146537781,0.747940719127655,0.7512118591840565,103,1.1871988773345947,0.027685090899467468,21635,"[0, 2, 1, 9, 5]",main,False
ACM,hard,42,Reliability-Selected Project-and-Mean,64,0.0003,0.0,0.7384105920791626,0.7248764634132385,0.7288765670991536,165,1.1313787698745728,0.05886409431695938,21635,"[0, 2, 1, 9, 5]",main,False
ACM,hard,42,Reliability-Selected Project-and-Mean,64,0.0003,0.0001,0.751655638217926,0.747940719127655,0.7494319537318974,155,1.0717287063598633,0.061074744910001755,21635,"[0, 2, 1, 9, 5]",main,False
ACM,hard,42,Reliability-Selected Project-and-Mean,128,0.001,0.0,0.7235099077224731,0.7116968631744385,0.715752382419049,66,1.0176324844360352,0.013301742263138294,43267,"[0, 2, 1, 9, 5]",main,False
ACM,hard,42,Reliability-Selected Project-and-Mean,128,0.001,0.0001,0.7218543291091919,0.7051070928573608,0.7082000262926452,134,1.1098928451538086,0.006836059037595987,43267,"[0, 2, 1, 9, 5]",main,False
ACM,hard,42,Reliability-Selected Project-and-Mean,128,0.0003,0.0,0.7301324605941772,0.7116968631744385,0.7153250163789194,169,1.111321210861206,0.022177575156092644,43267,"[0, 2, 1, 9, 5]",main,False
ACM,hard,42,Reliability-Selected Project-and-Mean,128,0.0003,0.0001,0.7384105920791626,0.734761118888855,0.7371896293068279,136,1.1386321783065796,0.032455749809741974,43267,"[0, 2, 1, 9, 5]",main,False
ACM,hard,42,Reliability-Selected Gated Fusion,32,0.001,0.0,0.5728476643562317,0.5848435163497925,0.5426240413714836,10,1.1022707223892212,1.0603073835372925,10664,"[0, 2, 1, 9, 5]",main,True
ACM,hard,42,Reliability-Selected Gated Fusion,32,0.001,0.0001,0.5347682237625122,0.4546952247619629,0.40852946030393805,24,1.103899598121643,0.9735804796218872,10664,"[0, 2, 1, 9, 5]",main,False
ACM,hard,42,Reliability-Selected Gated Fusion,32,0.0003,0.0,0.43543046712875366,0.3855024576187134,0.34850491934705435,94,1.1065999269485474,0.9389407634735107,10664,"[0, 2, 1, 9, 5]",main,False
ACM,hard,42,Reliability-Selected Gated Fusion,32,0.0003,0.0001,0.42384105920791626,0.40197694301605225,0.3842568052720417,80,1.0994627475738525,0.9691330194473267,10664,"[0, 2, 1, 9, 5]",main,False
ACM,hard,42,Reliability-Selected Gated Fusion,64,0.001,0.0,0.46357616782188416,0.4332784116268158,0.372310189804431,24,1.1026699542999268,0.9245617985725403,21320,"[0, 2, 1, 9, 5]",main,False
ACM,hard,42,Reliability-Selected Gated Fusion,64,0.001,0.0001,0.4718542993068695,0.42504119873046875,0.4122269022150844,14,1.0989128351211548,0.9843752980232239,21320,"[0, 2, 1, 9, 5]",main,False
ACM,hard,42,Reliability-Selected Gated Fusion,64,0.0003,0.0,0.44039735198020935,0.40527182817459106,0.36796110079369376,39,1.1034928560256958,1.0272756814956665,21320,"[0, 2, 1, 9, 5]",main,False
ACM,hard,42,Reliability-Selected Gated Fusion,64,0.0003,0.0001,0.5066224932670593,0.46457991003990173,0.4525228641862877,57,1.105863094329834,0.97138911485672,21320,"[0, 2, 1, 9, 5]",main,False
ACM,hard,42,Reliability-Selected Gated Fusion,128,0.001,0.0,0.5264900922775269,0.4596375524997711,0.4499790558184718,7,1.0933077335357666,1.0257892608642578,42632,"[0, 2, 1, 9, 5]",main,False
ACM,hard,42,Reliability-Selected Gated Fusion,128,0.001,0.0001,0.5132450461387634,0.4827018082141876,0.467368547283802,15,1.1033484935760498,0.9617323875427246,42632,"[0, 2, 1, 9, 5]",main,False
ACM,hard,42,Reliability-Selected Gated Fusion,128,0.0003,0.0,0.45695364475250244,0.4349258542060852,0.4047334842192795,40,1.1040236949920654,0.9787054657936096,42632,"[0, 2, 1, 9, 5]",main,False
ACM,hard,42,Reliability-Selected Gated Fusion,128,0.0003,0.0001,0.5231788158416748,0.4579901099205017,0.4388621648036161,27,1.102673053741455,1.0234010219573975,42632,"[0, 2, 1, 9, 5]",main,False
ACM,hard,42,Useful-Only Project-and-Mean,32,0.001,0.0,0.8807947039604187,0.8879736661911011,0.8896296902948878,128,1.1180824041366577,0.23995083570480347,6531,"[0, 1, 2]",diagnostic_oracle,True
ACM,hard,42,Useful-Only Project-and-Mean,32,0.001,0.0001,0.8758277893066406,0.8863261938095093,0.8876610683609624,109,1.1938693523406982,0.2796162962913513,6531,"[0, 1, 2]",diagnostic_oracle,False
ACM,hard,42,Useful-Only Project-and-Mean,32,0.0003,0.0,0.8774834275245667,0.8929159641265869,0.8937173506063996,90,1.057092547416687,0.45956113934516907,6531,"[0, 1, 2]",diagnostic_oracle,False
ACM,hard,42,Useful-Only Project-and-Mean,32,0.0003,0.0001,0.8791390657424927,0.8879736661911011,0.8885079756782548,128,1.1016466617584229,0.3601437211036682,6531,"[0, 1, 2]",diagnostic_oracle,False
ACM,hard,42,Useful-Only Project-and-Mean,64,0.001,0.0,0.8758277893066406,0.8929159641265869,0.8944414849607504,90,1.146831750869751,0.23438233137130737,13059,"[0, 1, 2]",diagnostic_oracle,False
ACM,hard,42,Useful-Only Project-and-Mean,64,0.001,0.0001,0.8774834275245667,0.8830313086509705,0.8842622982648559,56,1.1054177284240723,0.24879507720470428,13059,"[0, 1, 2]",diagnostic_oracle,False
ACM,hard,42,Useful-Only Project-and-Mean,64,0.0003,0.0,0.8774834275245667,0.8962108492851257,0.8976632590832218,198,1.1187973022460938,0.24517762660980225,13059,"[0, 1, 2]",diagnostic_oracle,False
ACM,hard,42,Useful-Only Project-and-Mean,64,0.0003,0.0001,0.8774834275245667,0.8863261938095093,0.8862889861582244,41,1.0870015621185303,0.5712417960166931,13059,"[0, 1, 2]",diagnostic_oracle,False
ACM,hard,42,Useful-Only Project-and-Mean,128,0.001,0.0,0.8675496578216553,0.8929159641265869,0.8946595778963918,60,1.072494387626648,0.2252800017595291,26115,"[0, 1, 2]",diagnostic_oracle,False
ACM,hard,42,Useful-Only Project-and-Mean,128,0.001,0.0001,0.8708609342575073,0.8879736661911011,0.88825463941743,11,1.0585415363311768,0.5413579344749451,26115,"[0, 1, 2]",diagnostic_oracle,False
ACM,hard,42,Useful-Only Project-and-Mean,128,0.0003,0.0,0.8708609342575073,0.8863261938095093,0.8879132211417539,157,1.1409159898757935,0.2263483703136444,26115,"[0, 1, 2]",diagnostic_oracle,False
ACM,hard,42,Useful-Only Project-and-Mean,128,0.0003,0.0001,0.8774834275245667,0.8863261938095093,0.886081440138543,21,1.146033525466919,0.7446671724319458,26115,"[0, 1, 2]",diagnostic_oracle,False
ACM,hard,42,Useful-Only Gated Fusion,32,0.001,0.0,0.8211920261383057,0.8072487711906433,0.8016874207340462,79,1.1134518384933472,0.8225973844528198,6438,"[0, 1, 2]",diagnostic_oracle,True
ACM,hard,42,Useful-Only Gated Fusion,32,0.001,0.0001,0.8162251710891724,0.828665554523468,0.8296495291029796,199,1.105870246887207,0.33048689365386963,6438,"[0, 1, 2]",diagnostic_oracle,False
ACM,hard,42,Useful-Only Gated Fusion,32,0.0003,0.0,0.7615894079208374,0.7644151449203491,0.7356274960241609,198,1.0952293872833252,0.8830857276916504,6438,"[0, 1, 2]",diagnostic_oracle,False
ACM,hard,42,Useful-Only Gated Fusion,32,0.0003,0.0001,0.6572847962379456,0.6490939259529114,0.5384868746088732,191,1.096548080444336,0.9071651697158813,6438,"[0, 1, 2]",diagnostic_oracle,False
ACM,hard,42,Useful-Only Gated Fusion,64,0.001,0.0,0.8195364475250244,0.8369027972221375,0.8384235910097333,187,1.0932416915893555,0.28811728954315186,12870,"[0, 1, 2]",diagnostic_oracle,False
ACM,hard,42,Useful-Only Gated Fusion,64,0.001,0.0001,0.8377483487129211,0.8451400399208069,0.8441678546390589,10,1.1024656295776367,1.0706384181976318,12870,"[0, 1, 2]",diagnostic_oracle,False
