seed,party,architecture,hidden_dim,private_view,val_auc,val_accuracy,test_auc,test_accuracy,test_f1
44,low_degree_interaction,low-rank matrix_factorization,24,low-degree interaction subset,0.6250240071801227,0.5991141860209356,0.6265514402699468,0.6042930984493257,0.6761261814164723
44,random_project_movie,random projection MLP,18,projected movie metadata,0.6743811418454174,0.6229791743733816,0.679097486060416,0.6326221493486368,0.7278181676771344
44,weak_genre_knn,weak KNN MLP,18,small-k noisy genre graph,0.6864530001753896,0.6320272742724028,0.6871341227811346,0.6396056828066106,0.730733317895586
44,highk_noisy_knn,noisy KNN MLP,18,high-k noisy genre graph,0.6276888428651881,0.5905059937413143,0.6198317853642642,0.5870717149398627,0.6355433780283879
44,partial_profile,partial profile MLP,12,age-only user profile,0.736475973112094,0.6788874336389358,0.7262797209605589,0.6773077653692725,0.7382722856980676
44,shuffled_feature_diagnostic,diagnostic MLP,10,shuffled train-view features,0.6321394487487793,0.5902360504294099,0.6309642924699925,0.5902860399316143,0.6253976379392299
45,rating_interaction_mf,matrix_factorization,64,train rating interaction graph,0.595219915023543,0.5745193509363034,0.6008514591461872,0.5803581247937933,0.6428923904165532
45,user_profile_mlp,profile MLP + movie ID embedding,32,"age, gender, occupation",0.744849505558991,0.6868257665890163,0.7407363357784122,0.6867157896841664,0.7346268176390383
45,movie_metadata_mlp,movie metadata MLP + user ID embedding,128,genres and release year,0.6327391026341854,0.6075324181921796,0.6357677166685186,0.6142760020395717,0.6881867299229367
45,genre_knn_mlp,genre-KNN smoothed MLP,48,genre semantic KNN graph,0.6896368082933487,0.6469641375311185,0.6919836227215236,0.6507833354995451,0.6956794479730259
45,popularity_temporal_mlp,small MLP,16,train-only popularity and temporal statistics,0.7189830495825932,0.6677197788464423,0.7064403871174909,0.6567920736645304,0.6900322356361797
45,sparse_rating_mf,sparse matrix_factorization,40,sparse train interactions,0.6602921376947476,0.6185800981793823,0.6591980838183877,0.6171054078643485,0.6593370426212302
45,masked_genres,metadata MLP with masked genres,24,partially masked movie genres,0.7033122193314322,0.6543725817578309,0.6898780800066949,0.6435198608292259,0.6759725005339041
45,corrupt_user_profile,profile MLP with corrupted features,20,corrupted age/gender/occupation,0.6234269113965779,0.6014137031223443,0.6283842231333094,0.6071974885274093,0.6794384859845872
45,outdated_popularity,small MLP,12,early-train popularity statistics,0.6700948939682269,0.6271682946581218,0.6746466990646522,0.635466552024075,0.7200175080245113
45,low_degree_interaction,low-rank matrix_factorization,24,low-degree interaction subset,0.6051672762623329,0.5695603923176134,0.5958975770220941,0.5611921496485738,0.591260861062219
45,random_project_movie,random projection MLP,18,projected movie metadata,0.6818882519158463,0.6291678747463033,0.6847826188489362,0.6395906859559493,0.72542948652035
45,weak_genre_knn,weak KNN MLP,18,small-k noisy genre graph,0.7355831096315472,0.6803171334019856,0.7268035831935667,0.6777826656402156,0.7346913575165364
45,highk_noisy_knn,noisy KNN MLP,18,high-k noisy genre graph,0.700196019202033,0.6512132452185041,0.685090416003658,0.6380210155867267,0.6695719233559823
45,partial_profile,partial profile MLP,12,age-only user profile,0.7447074528144427,0.6876455944251707,0.731397266707836,0.6767978724467861,0.711703275632965
45,shuffled_feature_diagnostic,diagnostic MLP,10,shuffled train-view features,0.6461831117843673,0.6004539046800172,0.6380145574252913,0.5947850951300226,0.6250416312030493
46,rating_interaction_mf,matrix_factorization,64,train rating interaction graph,0.565547489333764,0.5521940392517571,0.5647230404776193,0.5510592775517141,0.6087437645674952
46,user_profile_mlp,profile MLP + movie ID embedding,32,"age, gender, occupation",0.6088507834247311,0.5747892942482079,0.6003826804236091,0.5692754521550475,0.6142605799320413
46,movie_metadata_mlp,movie metadata MLP + user ID embedding,128,genres and release year,0.5771093051748934,0.5565731196448745,0.5770934846715278,0.5568930524589836,0.605781632199244
46,genre_knn_mlp,genre-KNN smoothed MLP,48,genre semantic KNN graph,0.710759407169935,0.6667599804041151,0.7078427362268135,0.665910158866638,0.71371537743204
46,popularity_temporal_mlp,small MLP,16,train-only popularity and temporal statistics,0.7475190775612753,0.6893052458983614,0.7433987646106716,0.6884654222613251,0.7382766238020444
46,sparse_rating_mf,sparse matrix_factorization,40,sparse train interactions,0.677665197364165,0.6354965457253977,0.6756830682787149,0.6360964197518522,0.6822467437231553
46,masked_genres,metadata MLP with masked genres,24,partially masked movie genres,0.6808424370292281,0.6255886263884585,0.6826926440293756,0.6329420821627458,0.72751832266444
46,corrupt_user_profile,profile MLP with corrupted features,20,corrupted age/gender/occupation,0.5787648927183094,0.5606322672238829,0.577515060945459,0.5628418032213235,0.6276917313079536
46,outdated_popularity,small MLP,12,early-train popularity statistics,0.6714765444967805,0.629947710980694,0.6749752524659398,0.6376860859219564,0.7122221604580433
46,low_degree_interaction,low-rank matrix_factorization,24,low-degree interaction subset,0.7415564586747934,0.6789674168424631,0.7213596580015396,0.6724137931034483,0.7120212695831777
46,random_project_movie,random projection MLP,18,projected movie metadata,0.6150325409319052,0.5769888323452075,0.6212244102725337,0.5839123784005359,0.624991552341691
46,weak_genre_knn,weak KNN MLP,18,small-k noisy genre graph,0.6314910517301472,0.6076323971965887,0.6338525682209184,0.6115615720698653,0.6931727541954591
46,highk_noisy_knn,noisy KNN MLP,18,high-k noisy genre graph,0.7366796848594418,0.6817368352645944,0.7281789668394719,0.6791873706521631,0.7378624120775434
46,partial_profile,partial profile MLP,12,age-only user profile,0.7124261532035555,0.668179682266724,0.7126200345883233,0.669689365233301,0.7175128683071977
46,shuffled_feature_diagnostic,diagnostic MLP,10,shuffled train-view features,0.6078762496879662,0.5881964787394647,0.6083321510565209,0.5907959328541006,0.6652490042284509
